|  RAM[0]  |  RAM[1]  |  RAM[2]  |  RAM[3]  |
|       2  |       3  |       2  |       1  |
|  -32768  |  -32768  |  -32768  |  -32768  |
|   32767  |   32767  |   32767  |   32767  |
|  -32768  |  -32768  |   32767  |   32767  |
|   32767  |  -32768  |  -32768  |   32767  |
|  -32767  |  -32768  |   32767  |  -32768  |
|   -7187  |      45  |  -32768  |   25536  |
|    9216  |    2048  |    1024  |    8192  |
|   -9216  |   -2048  |   -1024  |   -8192  |
|       0  |       1  |       1  |       0  |
|       0  |       0  |       0  |       0  |
|       1  |       1  |       1  |       1  |
